Fold,Cosine AUC,Euclidean AUC
1,0.9366311778815369,0.9337776164107854
2,0.91620483867198,0.9040394666086622
3,0.9536761368674359,0.9117584195666988
4,0.9342351012768736,0.9125589234045902
5,0.9491672381727554,0.949521379799586
6,0.9464767921313657,0.8896617308807621
7,0.9457822062214808,0.9163309166333699
8,0.9100802987413719,0.8443837875647338
9,0.9403382211043315,0.9282908732742758
10,0.9314923810157492,0.9246194000443673
